,target,fsense#,csense#,csense_cat,fsense_cat
0,八仙,8,4,3 ~ 5,5 ~ 14
1,巴比倫,9,4,3 ~ 5,5 ~ 14
2,巴黎,1,1,< 3,< 5
3,白宮,11,4,3 ~ 5,5 ~ 14
4,半島,11,5,3 ~ 5,5 ~ 14
5,別號,2,2,< 3,< 5
6,彩虹,14,7,6 ~ 15,5 ~ 14
7,赤道,7,3,3 ~ 5,5 ~ 14
8,刺客,11,6,6 ~ 15,5 ~ 14
9,大氣層,5,3,3 ~ 5,5 ~ 14
10,淡水,13,5,3 ~ 5,5 ~ 14
11,刀,8,4,3 ~ 5,5 ~ 14
12,道,9,4,3 ~ 5,5 ~ 14
13,地獄,4,4,3 ~ 5,< 5
14,電信,4,2,< 3,< 5
15,鼎,4,3,3 ~ 5,< 5
16,東海,20,4,3 ~ 5,15 ~ 29
17,東京,32,4,3 ~ 5,>30
18,豆蔻,7,3,3 ~ 5,5 ~ 14
19,毒液,2,2,< 3,< 5
20,獨立,21,6,6 ~ 15,15 ~ 29
21,段,5,4,3 ~ 5,5 ~ 14
22,盾,28,9,6 ~ 15,15 ~ 29
23,番茄,14,8,6 ~ 15,5 ~ 14
24,防火牆,4,3,3 ~ 5,< 5
25,粉末,3,2,< 3,< 5
26,父,7,6,6 ~ 15,5 ~ 14
27,父親,7,6,6 ~ 15,5 ~ 14
28,副作用,3,3,3 ~ 5,< 5
29,橄欖球,6,2,< 3,5 ~ 14
30,歌手,6,2,< 3,5 ~ 14
31,功夫,20,4,3 ~ 5,15 ~ 29
32,怪物,11,3,3 ~ 5,5 ~ 14
33,關山,10,4,3 ~ 5,5 ~ 14
34,光明,15,7,6 ~ 15,15 ~ 29
35,硅谷,1,1,< 3,< 5
36,果敢,4,4,3 ~ 5,< 5
37,海岸線,6,3,3 ~ 5,5 ~ 14
38,海防,6,2,< 3,5 ~ 14
39,號,65,9,6 ~ 15,>30
40,合作,8,5,3 ~ 5,5 ~ 14
41,和平,21,3,3 ~ 5,15 ~ 29
42,和尚,4,2,< 3,< 5
43,黑手黨,7,4,3 ~ 5,5 ~ 14
44,紅星,12,3,3 ~ 5,5 ~ 14
45,虹,14,7,6 ~ 15,5 ~ 14
46,機械,4,3,3 ~ 5,< 5
47,記憶,15,4,3 ~ 5,15 ~ 29
48,劍客,7,3,3 ~ 5,5 ~ 14
49,江湖,21,7,6 ~ 15,15 ~ 29
50,江南,17,5,3 ~ 5,15 ~ 29
51,郊區,99,3,3 ~ 5,>30
52,解放區,7,3,3 ~ 5,5 ~ 14
53,解放,9,3,3 ~ 5,5 ~ 14
54,金剛,37,7,6 ~ 15,>30
55,金星,15,5,3 ~ 5,15 ~ 29
56,精靈,9,4,3 ~ 5,5 ~ 14
57,狙擊手,6,4,3 ~ 5,5 ~ 14
58,巨人,15,7,6 ~ 15,15 ~ 29
59,孔夫子,1,1,< 3,< 5
60,孔子,7,5,3 ~ 5,5 ~ 14
61,老鷹,3,3,3 ~ 5,< 5
62,老子,3,3,3 ~ 5,< 5
63,黎明,24,6,6 ~ 15,15 ~ 29
64,荔枝,21,7,6 ~ 15,15 ~ 29
65,聯盟,7,4,3 ~ 5,5 ~ 14
66,凌霄,17,4,3 ~ 5,15 ~ 29
67,零,2,2,< 3,< 5
68,龍,25,5,3 ~ 5,15 ~ 29
69,倫理,5,2,< 3,5 ~ 14
70,羅馬,21,4,3 ~ 5,15 ~ 29
71,媽祖,15,4,3 ~ 5,15 ~ 29
72,馬力,10,3,3 ~ 5,5 ~ 14
73,麥當勞,5,2,< 3,5 ~ 14
74,饅頭,5,3,3 ~ 5,5 ~ 14
75,瞞天過海,2,2,< 3,< 5
76,矛盾,7,4,3 ~ 5,5 ~ 14
77,美國,6,5,3 ~ 5,5 ~ 14
78,美人魚,5,4,3 ~ 5,5 ~ 14
79,迷失,3,2,< 3,< 5
80,獼猴桃,103,3,3 ~ 5,>30
81,民主,9,4,3 ~ 5,5 ~ 14
82,莫斯科,17,2,< 3,15 ~ 29
83,母親,8,3,3 ~ 5,5 ~ 14
84,南,9,3,3 ~ 5,5 ~ 14
85,南非,3,2,< 3,< 5
86,南極,12,4,3 ~ 5,5 ~ 14
87,哪吒,9,5,3 ~ 5,5 ~ 14
88,女王,2,2,< 3,< 5
89,帕,16,7,6 ~ 15,15 ~ 29
90,朋友,10,4,3 ~ 5,5 ~ 14
91,片段,3,3,3 ~ 5,< 5
92,蘋果,9,4,3 ~ 5,5 ~ 14
93,葡萄,7,3,3 ~ 5,5 ~ 14
94,薔薇,13,4,3 ~ 5,5 ~ 14
95,橋,30,13,6 ~ 15,>30
96,青春期,5,3,3 ~ 5,5 ~ 14
97,人,31,5,3 ~ 5,>30
98,人類,5,2,< 3,5 ~ 14
99,人魚,7,5,3 ~ 5,5 ~ 14
100,三輪車,6,3,3 ~ 5,5 ~ 14
101,三國,17,4,3 ~ 5,15 ~ 29
102,三叉戟,7,4,3 ~ 5,5 ~ 14
103,三位一體,10,6,6 ~ 15,5 ~ 14
104,三字經,1,1,< 3,< 5
105,山,9,3,3 ~ 5,5 ~ 14
106,生命力,2,2,< 3,< 5
107,省,13,4,3 ~ 5,5 ~ 14
108,市制,4,2,< 3,< 5
109,市中心,2,2,< 3,< 5
110,睡,4,3,3 ~ 5,< 5
111,睡眠,3,2,< 3,< 5
112,朔望,2,2,< 3,< 5
113,絲綢之路,10,5,3 ~ 5,5 ~ 14
114,死神,18,7,6 ~ 15,15 ~ 29
115,四世同堂,4,3,3 ~ 5,< 5
116,鎖,4,3,3 ~ 5,< 5
117,塔,10,3,3 ~ 5,5 ~ 14
118,臺灣,18,6,6 ~ 15,15 ~ 29
119,太陽,17,9,6 ~ 15,15 ~ 29
120,太極,14,6,6 ~ 15,5 ~ 14
121,泰山,14,7,6 ~ 15,5 ~ 14
122,天皇,8,2,< 3,5 ~ 14
123,天空,5,3,3 ~ 5,5 ~ 14
124,天王,15,3,3 ~ 5,15 ~ 29
125,王道,6,3,3 ~ 5,5 ~ 14
126,文明,16,5,3 ~ 5,15 ~ 29
127,無間,9,6,6 ~ 15,5 ~ 14
128,五嶽,6,3,3 ~ 5,5 ~ 14
129,西施,10,4,3 ~ 5,5 ~ 14
130,現實主義,10,4,3 ~ 5,5 ~ 14
131,香港,11,4,3 ~ 5,5 ~ 14
132,象棋,10,2,< 3,5 ~ 14
133,小雪,8,4,3 ~ 5,5 ~ 14
134,新星,10,4,3 ~ 5,5 ~ 14
135,星雲,5,3,3 ~ 5,5 ~ 14
136,幸福,14,6,6 ~ 15,5 ~ 14
137,兄弟,14,5,3 ~ 5,5 ~ 14
138,焰火,1,1,< 3,< 5
139,楊梅,7,3,3 ~ 5,5 ~ 14
140,一見鍾情,5,3,3 ~ 5,5 ~ 14
141,陰莖,6,3,3 ~ 5,5 ~ 14
142,櫻花,6,6,6 ~ 15,5 ~ 14
143,鷹,4,3,3 ~ 5,< 5
144,友,10,4,3 ~ 5,5 ~ 14
145,圓,9,4,3 ~ 5,5 ~ 14
146,月光,10,3,3 ~ 5,5 ~ 14
147,越南,9,3,3 ~ 5,5 ~ 14
148,暈,2,2,< 3,< 5
149,征服,7,5,3 ~ 5,5 ~ 14
150,正片,3,2,< 3,< 5
151,植物,5,2,< 3,5 ~ 14
152,中國,11,4,3 ~ 5,5 ~ 14
153,中華,10,5,3 ~ 5,5 ~ 14
154,鍾馗,15,5,3 ~ 5,15 ~ 29
155,洲,12,6,6 ~ 15,5 ~ 14
156,紫羅蘭,5,5,3 ~ 5,5 ~ 14
157,自殺,3,3,3 ~ 5,< 5
158,足球,10,4,3 ~ 5,5 ~ 14
159,鑽石,16,7,6 ~ 15,15 ~ 29
160,華,10,5,3 ~ 5,5 ~ 14
161,黃海,13,4,3 ~ 5,5 ~ 14
162,黃河,19,6,6 ~ 15,15 ~ 29
163,黃油,2,2,< 3,< 5
